"2","CREATION","créer","conduire à","assurance-maladie pour des raisons de confidentialité ou de couverture complémentaire estimée satisfaisante) et le risque de double déclaration (l’évolution longue avec des phases de rémission totale pouvant conduire à une nouvelle déclaration lors d’une rechute). Pour le cancer du sein, contrairement à d’autres ALD,","plutôt oui","pprésent","FR/Cancer du sein/Scientifique/page1","Cancer du sein","Scientifique","conduire à une","l'évolution longue avec des phases de rémission totale","une nouvelle déclaration lors d'une rechute"
"3","CREATION","créer","conduire à","pourrait expliquer 57 % de la baisse d’incidence des cancers du sein [6]. Ces cancers pourraient cependant croître et être diagnostiqués plus tard, ce qui conduirait à une remontée différée de l’incidence, sans modification sur le long terme. En France, les prescriptions de THM","plutôt oui","""ce"" : correspond à un énoncé","FR/Cancer du sein/Scientifique/page1","Cancer du sein","Scientifique","conduirait à une","ce (= ces cancers pourraient croître et être diagnostiqués tard)","remontée différée de l'incidence"
"4","CREATION","créer","conduire à","la radiothérapie est commencée [1]. Le fait de retarder le début de la radiothérapie semble favoriser la croissance de ces clones tumoraux [2] et ainsi conduire à une augmentation du risque de RL [3]. Selon certains auteurs, d’autres mécanismes seraient impliqués dans la","plutôt oui","","FR/Cancer du sein/Scientifique/page15","Cancer du sein","Scientifique","conduire à une","le fait de retarder le début de la radiothérapie","une augmentation du risque de RL"
"5","CREATION","créer","conduire à",". Sauf dans cinq études [24, 27, 29, 30, 32], les auteurs ont conclu qu’un retard dans le démarrage de la radiothérapie conduisait à une augmentation du taux de RL. Quand la chimiothérapie adjuvante est indiquée, il est difficile de préciser la meilleure","plutôt oui","","FR/Cancer du sein/Scientifique/page15","Cancer du sein","Scientifique","conduisait à une","un retard dans le démarrage de la radiothérapie","une augmentation du taux de RL"
"6","CREATION","créer","conduire à","de 15 % pour les événements non liés au traitement (respectivement 15, 1 et 14, 9 %). Les principaux types d’événements indésirables rencontrés ayant conduit à une hospitalisation sont pour les deux branches liés à une neutropénie (neutropénie avec fièvre, neutropénie, et infection neutropénique","plutôt oui","","FR/Cancer du sein/Scientifique/page19","Cancer du sein","Scientifique","ayant conduit à ","Les principaux types d’événements indésirables rencontrés","une hospitalisation"
"7","CREATION","créer","conduire à","Au niveau du tissu mammaire, alors que la liaison des œstrogènes facilite l’interaction du récepteur avec les co-activateurs, la liaison du tamoxifène au RE entraîne préférentiellement une interaction avec des co-répresseurs (SMRT, N-CoR, REA & HET / SAF-B), conduisant à une inhibition de la transcription des gènes œstrogénodépendants (effet antagoniste) [13, 21-24]. L’effet principal","oui","","FR/Cancer du sein/Scientifique/page24","Cancer du sein","Scientifique","conduisant à une","",""
"8","CREATION","créer","conduire à","cancers du sein avancés en association avec un traitement substitutif glucocorticoïde [47, 48]. Son effet principal était une inhibition de l’aromatase, ce qui a conduit au développement de nouveaux inhibiteurs d’aromatase plus spécifiques. Deux types d’inhibiteurs d’aromatase sont définis en fonction de","plutôt oui","""ce"" : correspond à un énoncé","FR/Cancer du sein/Scientifique/page24","Cancer du sein","Scientifique","conduit au","ce (=Son effet principal était une inhibition de l’aromatase)","développement de nouveaux inhibiteurs d'aromatase plus spécifiques"
"9","CREATION","créer","conduire à","(n = 19) et la largeur des intervalles de confiance et leur caractère non significatif incitent à interpréter ces résultats avec prudence. L’étude de chimioprophylaxie anglaise conduite au Royal Marsden Hospital (RMH) par Powles comprenait un nombre plus important de femmes à risque génétique que l’","non","lieu","FR/Cancer du sein/Scientifique/page28","Cancer du sein","Scientifique","conduite au","",""
"25","CREATION","créer","conduire à","il a d’abord été évalué en situation métastatique. La mise en évidence d’une activité importante en situation avancée, même après un échec des anthracyclines, a conduit à son étude en première ligne métastatique, en monothérapie puis en association avec les anthracyclines. La démonstration de son efficacité","plutôt non","","FR/Cancer du sein/Scientifique/page32","Cancer du sein","Scientifique","conduit à son","la séquence de traitement","les modalités de la rechute"
"26","CREATION","créer","conduire à","un échec des anthracyclines, a conduit à son étude en première ligne métastatique, en monothérapie puis en association avec les anthracyclines. La démonstration de son efficacité a conduit à son incorporation dans le traitement des stades précoces en situation adjuvante ou néoadjuvante. C’est en effet à ce stade","Oui","","FR/Cancer du sein/Scientifique/page32","Cancer du sein","Scientifique","conduit à son","La démonstration de son efficacité","son incorporation dans le traitement des stades précoces en situation adjuvante ou néoadjuvante."
