"1","DET X {fondre/fusionner/incorporer} DET Y","Type de liaisons entre parties","Fusion","La surface de la plaque en subduction se réchauffe progressivement en plongeant dans le manteau supérieur située sous l’arc, formant ainsi un coin asthénosphérique. Cette croûte plongeante qui incorpore des sédiments et des basaltes contenant une certaine proportion d’eau, se déshydrate d’abord","Oui","","FR/Volcan/Scientifique/geo5","","",""
"2","X {réunir/unir/rassembler/grouper /regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","Trois groupes de population ont été définis : * – le groupe 1 comprend les femmes de 50 à 74 ans dépistées positives, ce qui correspond à 333 cancers regroupant les 260 cancers dépistés et les 73 cancers de l’intervalle (vrais cancers de l’intervalle ou faux négatifs) ;","Plutôt oui","cancers : candidat-terme. Pprésent","FR/Cancer du sein/Scientifique/page11","regroupant","les 260 cancers dépistés et les 73 cancers de l'intervalle","333 cancers"
"3","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","L’approche d’une infertilité après un cancer du sein, très délicate, ne se conçoit que dans le cadre d’une double réflexion réunissant oncologues et spécialistes d’AMP. ","Non","pas de lien de partie à tout entre réflexion et oncologues/spécialistes","FR/Cancer du sein/Scientifique/page2","réunissant ","",""
"4","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","de type biologique est de la responsabilité du laboratoire (variant de signification inconnue, techniques...) mais son impact dépend de la qualité des échanges clinique-biologie. Une réunion regroupant laboratoires et prescripteurs sur une base annuelle a été jugée indispensable pour permettre d’informer les prescripteurs des évolutions technologiques et","Plutôt non","pas de lien de partie à tout entre réunion et laboratoires/prescripteurs","FR/Cancer du sein/Scientifique/page50","regroupant ","",""
"5","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","permettre d’informer les prescripteurs des évolutions technologiques et d’analyser les taux de détection de MCD en fonction des indications. Dans le même état d’esprit, une réunion regroupant prescripteurs et médecins « adresseurs » est très souhaitable, voire indispensable, selon le niveau d’activité. Problème posé","Non","pas de lien de partie à tout entre réunion et laboratoires/prescripteurs","FR/Cancer du sein/Scientifique/page50"," regroupant","",""
"6","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","une quelconque influence sur la survie ou la qualité de vie. Dans la méta-analyse publiée par De Bock et al. [22] comportant les données de 12 études regroupant les données de 5000 patientes, 40 % des récidives locales ont été diagnostiquées chez des patientes asymptomatiques pendant les contrôles.","Plutôt non","deux éléments du LST","FR/Cancer du sein/Scientifique/page501","regroupant","",""
"7","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","La banque de données de l’EBCTCG regroupe 9 000 femmes incluses dans des essais de suppression ovarienne, 33 000 femmes incluses dans des essais qui comparent tamoxifène pendant 1 ou 2 ans à une surveillance, 15 000 femmes randomisées dans des essais avec 5 ans de tamoxifène.","Plutôt oui","? Banque de données de l'EBCTCG","FR/Cancer du sein/Scientifique/page22","regroupe ","femmes","banque de données"
"8","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","dans le système minéra-lisant. Le modèle communément admis, qui rend compte de la genèse des minéralisations en EGP actuellement exploités, suppose l'existence d’une matte sulfurée Immiscible collectant métaux de base et EGP. Lors du refroidissement, les EGP s’exsolveraient du réseau des sulfures et donneraient des","Oui","candidats-termes ?","FR/Volcan/Scientifique/geo8"," collectant","métaux de base et EGP","matte sulfurée immiscible"
"9","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","régions du monde confirmant l'intérêt de ce précieux marqueur biostratigraphique (Puckett et Mancini, 1998) longtemps utilisé pour repérer la fin du Campanien. La planche 3 rassemble des vues de Rd. calcarata prélevées dans les flyschs et ordonnées en fonction de la taille. L'objectif initial était de savoir si le taxon difficilement mis en","Plutôt oui","","FR/Volcan/Scientifique/carnet_geologie1","rassemble","vues de RD. Calcarata","planche "
"10","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","km de large, orienté ouest / nord-ouest est / sud-est. Il occupe la partie centro-orientale de l’île et culmine au Caveiro à 1 077 m. Cette formation regroupe environ 170 cônes de scories alignés sur des accidents tectoniques ouest / nord-ouest est / sud-est, ainsi que leurs coulées de lave","Oui","formation : candidat-terme ? Cônes de scories : termes","FR/Volcan/Scientifique/lave10"," regroupe","cônes de scories","formation"
"11","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","dans ce désert de laves et de cendres brunes, Keck I et Keck II sont les deux plus grands télescopes du monde. Leurs miroirs de 10 mètres de diamètre collectent les rares grains de lumière les photons qui nous parviennent d'astres ou d'objets situés aux confins de l'univers, bien plus loin que ceux dont les télescopes terrestres actuels nous restituent l'image.","Plutôt non","lien entre miroir et grains de lumière ? Lien de méronymie ?","FR/Volcan/Vulgarisation/corpusFR","collectent","",""
